id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept
2fa57387ae1,6213754009,SETANTA SETTERS,PITTSBURGH,PA,CITIZENS BANK NATL ASSOC,MA,1-Apr-03,2003,1,1.0,1,2,1,1,Y,N,30-Jun-03,"$5,440.00 ",$0.00 ,1
a66f9849d7f,1751224008,DURACLEAN BY SEITZER,MONTOURSVILLE,PA,MANUFACTURERS & TRADERS TR CO,NY,19-Dec-97,1998,20,1.0,0,0,25850,0,N,Y,28-Feb-98,"$33,800.00 ",$0.00 ,1
fb6a6d89487,6979444003,PC HAINES WALL & CEILING CONTR,SALUNGA,PA,CITIZENS BANK NATL ASSOC,RI,1-Dec-03,2004,9,1.0,0,9,1,2,Y,N,29-Feb-04,"$156,599.00 ",$0.00 ,1
0ac44b54067,5825754005,LESLIE A LANDIS,YORK,PA,MANUFACTURERS & TRADERS TR CO,MD,31-Oct-02,2003,3,1.0,2,5,1,1,0,N,31-Jan-03,"$40,000.00 ",$0.00 ,1
3a5ff625fa3,8989333001,"MAILBOXES, ETC.",PHILADELPHIA,PA,NEWTEK SMALL BUS. FINANCE INC.,NY,7-Feb-96,1996,3,1.0,0,0,50564,0,N,Y,31-Oct-96,"$100,000.00 ",$0.00 ,1
13e090b9169,2812605010,Genesis Automotive LLC,Reading,PA,NATIONAL PENN BANK,PA,15-Nov-07,2008,9,2.0,0,9,0,1,N,N,30-Nov-07,"$25,000.00 ",$0.00 ,1
0e88d44b38b,9374423002,"JOHNSTOWN LUBRICANTS, INC.",JOHNSTOWN,PA,ALTOONA-BLAIR CNTY DEVEL CORP,PA,28-Jun-96,1996,10,2.0,10,0,43555,0,N,N,14-May-97,"$309,000.00 ",$0.00 ,1
6f355718952,6028173003,SKYVIEW AMUSEMENTS,CORRY,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,29-Oct-93,1994,2,2.0,0,0,1,0,N,N,31-Jan-94,"$125,000.00 ",$0.00 ,1
3c577c9fce0,8968104010,CHAMPION PROPERTY MAINTENACE I,ROYERSFORD,PA,NATIONAL PENN BANK,PA,5-Jul-05,2005,60,1.0,0,60,1,1,Y,N,31-Jul-05,"$36,400.00 ",$0.00 ,1
0e4c44cb550,4808883006,CORNERSTONE GRAIN PROCESSING,ROBESONIA,PA,WELLS FARGO BANK NATL ASSOC,SD,17-Apr-92,1992,2,1.0,0,0,1,0,N,N,30-Apr-92,"$70,000.00 ",$0.00 ,1
f59226f3fa8,4247295008,C. Moses Excavating,Port allegany,PA,CITIZENS & NORTHERN BANK,PA,10-Sep-10,2010,4,1.0,0,4,0,2,N,N,10-Sep-10,"$50,500.00 ",$0.00 ,1
4b5639dfe75,2156996008,BLU WASABI,SCRANTON,PA,FIRST NATL BK OF PENNSYLVANIA,PA,16-Jun-06,2006,10,2.0,0,0,1,2,N,N,30-Nov-06,"$200,000.00 ",$0.00 ,1
c13a3e7eec8,6392344009,LATTIMORE CONSTRUCTION INC,MILFORD,PA,CITIZENS BANK NATL ASSOC,RI,10-Jun-03,2003,11,1.0,0,11,1,1,0,N,30-Jun-03,"$29,500.00 ",$0.00 ,1
2f50db7d767,8711663001,L.N.J. STEEL FRAMING SYSTEMS,CANONSBURG,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,17-Oct-95,1996,6,2.0,0,0,1,0,N,Y,31-Jul-96,"$100,000.00 ",$0.00 ,1
454be7fcebf,1932856000,GOURMET INTERNATIONAL MARKET,KINGSTON (WESTMOORE),PA,"PNC BANK, NATIONAL ASSOCIATION",DE,4-May-06,2006,1,2.0,6,6,1,1,Y,N,31-May-06,"$20,000.00 ",$0.00 ,0
a43dde651be,9068184000,HOYLE PROPERTY HOLDINGS LLC,WYOMISSING,PA,VIST BANK,PA,26-Aug-05,2005,2,2.0,0,2,1,1,0,N,31-Jan-06,"$140,000.00 ",$0.00 ,1
a447bedbcc8,4697065006,Four Seasons Restaurant and Di,Middle Smithfield Twp.,PA,NORTHEASTERN ECONOMIC DEVEL CO,PA,23-May-11,2011,1,1.0,0,11,0,2,,N,11-Jan-12,"$660,000.00 ",$0.00 ,1
0775887d67b,5916664008,MACES MOTORCYCLE SERVICE,MOUNT PLEASANT,PA,CITIZENS BANK NATL ASSOC,RI,4-Dec-02,2003,1,1.0,0,1,1,1,T,N,31-Dec-02,"$20,100.00 ",$0.00 ,1
1cc807a9e97,5586974003,"WOODPECKER XPRESS, INC.",MERCER,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,5-Aug-02,2002,1,1.0,0,0,1,2,0,Y,31-Jan-03,"$102,000.00 ",$0.00 ,1
80e7f58a76b,2864874005,TRAVOIS CONSTRUCTION INC,HOLLIDAYSBURG,PA,FIRST COMMONWEALTH BANK,PA,31-Mar-99,1999,6,1.0,0,1,1,0,0,N,30-Apr-99,"$10,000.00 ",$0.00 ,1
